X,Y1,Y2,Z
0.53030303,0.666666667,1.552405461,7.51699
0.53030303,0.679292929,1.573440765,7.5288900000000005
0.53030303,0.691919192,1.594476069,7.53751
0.53030303,0.704545455,1.615511374,7.543010000000001
0.53030303,0.717171717,1.636546678,7.54553
0.53030303,0.72979798,1.657581982,7.54523
0.53030303,0.742424242,1.678617287,7.54227
0.53030303,0.755050505,1.699652591,7.5368
0.53030303,0.767676768,1.720687895,7.52897
0.53030303,0.78030303,1.7417232,7.518940000000001
0.53030303,0.792929293,1.762758504,7.5068600000000005
0.53030303,0.805555556,1.783793809,7.49288
0.53030303,0.818181818,1.804829113,7.47717
0.53030303,0.830808081,1.825864417,7.4598700000000004
0.53030303,0.843434343,1.846899722,7.44114
0.53030303,0.856060606,1.867935026,7.42113
0.53030303,0.868686869,1.88897033,7.39999
0.53030303,0.881313131,1.910005635,7.37789
0.53030303,0.893939394,1.931040939,7.35498
0.53030303,0.906565657,1.952076243,7.3314
0.53030303,0.919191919,1.973111548,7.30731
0.53030303,0.931818182,1.994146852,7.28287
0.53030303,0.944444444,2.015182156,7.25824
0.53030303,0.957070707,2.036217461,7.233560000000001
0.53030303,0.96969697,2.057252765,7.20899
0.53030303,0.982323232,2.078288069,7.18468
0.53030303,0.994949495,2.099323374,7.16079
0.53030303,1.007575758,2.120358678,7.13748
0.53030303,1.02020202,2.141393982,7.11489
0.53030303,1.032828283,2.162429287,7.09318
0.53030303,1.045454545,2.183464591,7.0725
0.53030303,1.058080808,2.204499895,7.0530100000000004
0.53030303,1.070707071,2.2255352,7.034870000000001
0.53030303,1.083333333,2.246570504,7.01822
0.53030303,1.095959596,2.267605808,7.00323
0.53030303,1.108585859,2.288641113,6.9900400000000005
0.53030303,1.121212121,2.309676417,6.97881
0.53030303,1.133838384,2.330711721,6.96969
0.53030303,1.146464646,2.351747026,6.96284
0.53030303,1.159090909,2.37278233,6.95842
0.53030303,1.171717172,2.393817635,6.95657
0.53030303,1.184343434,2.414852939,6.957450000000001
0.53030303,1.196969697,2.435888243,6.96121
0.53030303,1.20959596,2.456923548,6.9680100000000005
0.53030303,1.222222222,2.477958852,6.97801
0.53030303,1.234848485,2.498994156,6.991350000000001
0.53030303,1.247474747,2.520029461,7.0082
0.53030303,1.26010101,2.541064765,7.02869
0.53030303,1.272727273,2.562100069,7.053
0.53030303,1.285353535,2.583135374,7.08127
0.53030303,1.297979798,2.604170678,7.11366
0.53030303,1.310606061,2.625205982,7.15032
0.53030303,1.323232323,2.646241287,7.19141
0.53030303,1.335858586,2.667276591,7.237080000000001
0.53030303,1.348484848,2.688311895,7.28748
0.53030303,1.361111111,2.7093472,7.34276
0.53030303,1.373737374,2.730382504,7.4031
0.53030303,1.386363636,2.751417808,7.4686200000000005
0.53030303,1.398989899,2.772453113,7.5395
0.53030303,1.411616162,2.793488417,7.61589
0.53030303,1.424242424,2.814523721,7.69793
0.53030303,1.436868687,2.835559026,7.78579
0.53030303,1.449494949,2.85659433,7.8796100000000004
0.53030303,1.462121212,2.877629634,7.979550000000001
0.53030303,1.474747475,2.898664939,8.08577
0.53030303,1.487373737,2.919700243,8.19842
0.53030303,1.5,2.940735548,8.31766
0.545454545,0.275252525,0.939015986,4.60835
0.545454545,0.287878788,0.960652299,4.80019
0.545454545,0.300505051,0.982288612,4.98398
0.545454545,0.313131313,1.003924925,5.15988
0.545454545,0.325757576,1.025561238,5.32805
0.545454545,0.338383838,1.047197551,5.48864
0.545454545,0.351010101,1.068833864,5.64179
0.545454545,0.363636364,1.090470177,5.78768
0.545454545,0.376262626,1.11210649,5.92644
0.545454545,0.388888889,1.133742803,6.05823
0.545454545,0.401515152,1.155379116,6.1832
0.545454545,0.414141414,1.177015429,6.30151
0.545454545,0.426767677,1.198651742,6.413320000000001
0.545454545,0.439393939,1.220288056,6.51876
0.545454545,0.452020202,1.241924369,6.61801
0.545454545,0.464646465,1.263560682,6.7112
0.545454545,0.477272727,1.285196995,6.7985
0.545454545,0.48989899,1.306833308,6.88006
0.545454545,0.502525253,1.328469621,6.95603
0.545454545,0.515151515,1.350105934,7.02656
0.545454545,0.527777778,1.371742247,7.0918
0.545454545,0.54040404,1.39337856,7.1519200000000005
0.545454545,0.553030303,1.415014873,7.20706
0.545454545,0.565656566,1.436651186,7.25738
0.545454545,0.578282828,1.458287499,7.30302
0.545454545,0.590909091,1.479923812,7.34415
0.545454545,0.603535354,1.501560125,7.380920000000001
0.545454545,0.616161616,1.523196438,7.41347
0.545454545,0.628787879,1.544832751,7.44197
0.545454545,0.641414141,1.566469064,7.46656
0.545454545,0.654040404,1.588105377,7.487410000000001
0.545454545,0.666666667,1.60974169,7.50465
0.545454545,0.679292929,1.631378003,7.51846
0.545454545,0.691919192,1.653014316,7.52897
0.545454545,0.704545455,1.674650629,7.53634
0.545454545,0.717171717,1.696286942,7.54073
0.545454545,0.72979798,1.717923255,7.54229
0.545454545,0.742424242,1.739559569,7.54117
0.545454545,0.755050505,1.761195882,7.537520000000001
0.545454545,0.767676768,1.782832195,7.53151
0.545454545,0.78030303,1.804468508,7.52327
0.545454545,0.792929293,1.826104821,7.51297
0.545454545,0.805555556,1.847741134,7.5007600000000005
0.545454545,0.818181818,1.869377447,7.48679
0.545454545,0.830808081,1.89101376,7.471220000000001
0.545454545,0.843434343,1.912650073,7.4541900000000005
0.545454545,0.856060606,1.934286386,7.43587
0.545454545,0.868686869,1.955922699,7.4164
0.545454545,0.881313131,1.977559012,7.39593
0.545454545,0.893939394,1.999195325,7.37463
0.545454545,0.906565657,2.020831638,7.352650000000001
0.545454545,0.919191919,2.042467951,7.3301300000000005
0.545454545,0.931818182,2.064104264,7.307230000000001
0.545454545,0.944444444,2.085740577,7.2841000000000005
0.545454545,0.957070707,2.10737689,7.26091
0.545454545,0.96969697,2.129013203,7.23779
0.545454545,0.982323232,2.150649516,7.214910000000001
0.545454545,0.994949495,2.172285829,7.192410000000001
0.545454545,1.007575758,2.193922142,7.17046
0.545454545,1.02020202,2.215558455,7.1492
0.545454545,1.032828283,2.237194768,7.12878
0.545454545,1.045454545,2.258831082,7.10937
0.545454545,1.058080808,2.280467395,7.0911100000000005
0.545454545,1.070707071,2.302103708,7.07415
0.545454545,1.083333333,2.323740021,7.058660000000001
0.545454545,1.095959596,2.345376334,7.04478
0.545454545,1.108585859,2.367012647,7.03267
0.545454545,1.121212121,2.38864896,7.02247
0.545454545,1.133838384,2.410285273,7.01435
0.545454545,1.146464646,2.431921586,7.00845
0.545454545,1.159090909,2.453557899,7.00494
0.545454545,1.171717172,2.475194212,7.00396
0.545454545,1.184343434,2.496830525,7.00566
0.545454545,1.196969697,2.518466838,7.0102
0.545454545,1.20959596,2.540103151,7.01773
0.545454545,1.222222222,2.561739464,7.02841
0.545454545,1.234848485,2.583375777,7.04239
0.545454545,1.247474747,2.60501209,7.05982
0.545454545,1.26010101,2.626648403,7.08086
0.545454545,1.272727273,2.648284716,7.10566
0.545454545,1.285353535,2.669921029,7.13436
0.545454545,1.297979798,2.691557342,7.16714
0.545454545,1.310606061,2.713193655,7.20413
0.545454545,1.323232323,2.734829968,7.24549
0.545454545,1.335858586,2.756466281,7.29138
0.545454545,1.348484848,2.778102594,7.341950000000001
0.545454545,1.361111111,2.799738908,7.39734
0.545454545,1.373737374,2.821375221,7.457730000000001
0.545454545,1.386363636,2.843011534,7.52325
0.545454545,1.398989899,2.864647847,7.59406
0.545454545,1.411616162,2.88628416,7.670310000000001
0.545454545,1.424242424,2.907920473,7.7521700000000004
0.545454545,1.436868687,2.929556786,7.839770000000001
0.545454545,1.449494949,2.951193099,7.93328
0.545454545,1.462121212,2.972829412,8.03285
0.545454545,1.474747475,2.994465725,8.138630000000001
0.545454545,1.487373737,3.016102038,8.250770000000001
0.545454545,1.5,3.037738351,8.36943
0.560606061,0.287878788,1.000679478,4.73393
0.560606061,0.300505051,1.0229168,4.91957
0.560606061,0.313131313,1.045154122,5.09733
0.560606061,0.325757576,1.067391443,5.2673700000000006
0.560606061,0.338383838,1.089628765,5.42985
0.560606061,0.351010101,1.111866087,5.5849
0.560606061,0.363636364,1.134103409,5.73269
0.560606061,0.376262626,1.15634073,5.87336
0.560606061,0.388888889,1.178578052,6.007070000000001
0.560606061,0.401515152,1.200815374,6.13398
0.560606061,0.414141414,1.223052696,6.254230000000001
0.560606061,0.426767677,1.245290017,6.367970000000001
0.560606061,0.439393939,1.267527339,6.47536
